iter	Logloss
0	0.6703965337
1	0.650163286
2	0.6325485501
3	0.6108807411
4	0.5933020653
5	0.5748160432
6	0.5577487127
7	0.5419075734
8	0.5278283825
9	0.5145604677
10	0.5008411304
11	0.4923379506
12	0.4799195704
13	0.4694324882
14	0.4582680147
15	0.448695064
16	0.4388647361
17	0.4323990489
18	0.4242636885
19	0.4170291061
20	0.4110923959
21	0.4043498159
22	0.3981778333
23	0.3923814516
24	0.3849055032
25	0.3793551379
26	0.3735689528
27	0.3693834544
28	0.3653045618
29	0.3623710962
30	0.360363542
31	0.3568868388
32	0.3538346044
33	0.3500174981
34	0.3449412564
35	0.3429849636
36	0.3401531495
37	0.3371931971
38	0.3328941472
39	0.3310162044
40	0.3291710807
41	0.3272433743
42	0.324345387
43	0.3207607113
44	0.318617931
45	0.3166720942
46	0.314784768
47	0.3130404148
48	0.3103253517
49	0.3078679054
50	0.3066259949
51	0.3041181449
52	0.3031853643
53	0.3015033471
54	0.3001870503
55	0.2989870758
56	0.296784722
57	0.2956842184
58	0.2940550842
59	0.2929506944
60	0.2910011749
61	0.2889732994
62	0.2876445094
63	0.2860604484
64	0.2848486558
65	0.284236896
66	0.2818781562
67	0.2808350079
68	0.2794532258
69	0.2783684644
70	0.2769886526
71	0.2762409503
72	0.2745538814
73	0.2741209553
74	0.2725928175
75	0.2711382737
76	0.2699993099
77	0.2690498631
78	0.2678289421
79	0.2670876802
80	0.2653739818
81	0.2629229339
82	0.2612374818
83	0.2601901854
84	0.2586034764
85	0.2576011095
86	0.2569286343
87	0.2558212453
88	0.2547942688
89	0.2541877236
90	0.2525110491
91	0.2504855908
92	0.2497841877
93	0.2488288919
94	0.2477855317
95	0.246443704
96	0.2462049583
97	0.245052057
98	0.2441525675
99	0.2434314911
100	0.2425122456
101	0.2408068506
102	0.2404040836
103	0.2389761488
104	0.2373531163
105	0.2361620016
106	0.2356898008
107	0.2345347684
108	0.233449919
109	0.2323703229
110	0.2311436729
111	0.2302846753
112	0.2295860967
113	0.2286876072
114	0.2281547091
115	0.2271362661
116	0.2259581199
117	0.2249720952
118	0.2241975226
119	0.22262907
120	0.2216015143
121	0.2211578433
122	0.2203760952
123	0.2190519467
124	0.2182177882
125	0.2170520138
126	0.2164589832
127	0.2159000579
128	0.2149305405
129	0.2137069208
130	0.2132724318
131	0.2131430721
132	0.2124122296
133	0.2112947168
134	0.2100644511
135	0.2088693061
136	0.2085338103
137	0.2074616842
138	0.2064300688
139	0.2058147504
140	0.2053842874
141	0.2050112481
142	0.203992716
143	0.2029261199
144	0.2017718536
145	0.2008411122
146	0.2002809718
147	0.1997941906
148	0.199057131
149	0.1984033627
150	0.1979656964
151	0.1975158906
152	0.197121453
153	0.196547761
154	0.1956867873
155	0.1943306086
156	0.1938256429
157	0.1934695191
158	0.1923627035
159	0.1915653932
160	0.1902966454
161	0.1896831856
162	0.1891056168
163	0.1877796479
164	0.1869504143
165	0.1861180418
166	0.1852956479
167	0.1850493539
168	0.183987002
169	0.1835005833
170	0.1825982839
171	0.1815804631
172	0.1806737651
173	0.1802656817
174	0.1793928586
175	0.1789659395
176	0.1781624597
177	0.1776167255
178	0.1772060265
179	0.176662883
180	0.1761949262
181	0.1758266688
182	0.1751143514
183	0.1741141584
184	0.1733302896
185	0.17264815
186	0.1716454676
187	0.1712228777
188	0.1704445595
189	0.1700550268
190	0.1693292537
191	0.1689854831
192	0.1685400711
193	0.1672873418
194	0.1665408387
195	0.165400332
196	0.164390005
197	0.1636430304
198	0.1632853405
199	0.1628118208
200	0.1624229193
201	0.1621720784
202	0.1611361058
203	0.1601216371
204	0.1596012695
205	0.1590387847
206	0.1583204456
207	0.156965035
208	0.156613115
209	0.156331997
210	0.1559593795
211	0.1549681504
212	0.1545157375
213	0.1540906416
214	0.1538715973
215	0.1528282403
216	0.151592851
217	0.1508652866
218	0.1495574719
219	0.1490947256
220	0.1484535672
221	0.148235263
222	0.1473633298
223	0.1471830648
224	0.1468041986
225	0.1460885841
226	0.1458944564
227	0.1450667955
228	0.1445953918
229	0.1436414354
230	0.1431206119
231	0.1425406489
232	0.1422428574
233	0.1417770844
234	0.141664249
235	0.1408922175
236	0.1406085184
237	0.1399149696
238	0.1397574008
239	0.1395573625
240	0.1386385948
241	0.1380930301
242	0.13761976
243	0.1366056298
244	0.1354584271
245	0.1349791927
246	0.1346996044
247	0.1343114071
248	0.1335434789
249	0.1331055888
250	0.1326186989
251	0.1321545797
252	0.1315544765
253	0.1303511425
254	0.1292125376
255	0.1286174828
256	0.1279079532
257	0.1276943305
258	0.1272531952
259	0.1266355237
260	0.1265464807
261	0.1260808664
262	0.1256092041
263	0.1254930645
264	0.1247483658
265	0.123836113
266	0.1229100289
267	0.122231624
268	0.1215861212
269	0.1210881215
270	0.1210209617
271	0.1209834896
272	0.1209374292
273	0.1208119637
274	0.1206869231
275	0.1202656282
276	0.1201807728
277	0.1201451082
278	0.1194697466
279	0.1185164934
280	0.1184121175
281	0.1180262113
282	0.1173330751
283	0.116345672
284	0.1152067444
285	0.1149123904
286	0.1143705193
287	0.1133867794
288	0.1129923437
289	0.1119830954
290	0.1113561108
291	0.1106629295
292	0.110207353
293	0.1095664319
294	0.1095277195
295	0.1086700769
296	0.1086087214
297	0.1082093056
298	0.1077781961
299	0.1075636459
300	0.1067068814
301	0.1066217364
302	0.1059579855
303	0.1058542936
304	0.1052464717
305	0.1051789282
306	0.1044381631
307	0.1043716063
308	0.1038623336
309	0.1032784955
310	0.1030652068
311	0.1024347188
312	0.1020503903
313	0.1015523165
314	0.100903364
315	0.1005201288
316	0.09984085563
317	0.09948167109
318	0.09875580973
319	0.09842317778
320	0.09811507829
321	0.09765792614
322	0.0971260822
323	0.09652140687
324	0.09575331132
325	0.0952153666
326	0.09481545348
327	0.09427254137
328	0.09404014534
329	0.09370359123
330	0.09307956226
331	0.09281831585
332	0.09241553927
333	0.09190055616
