iter	Passed	Remaining
0	61	24710
1	63	12655
2	64	8600
3	66	6632
4	68	5392
5	69	4572
6	70	3979
7	71	3521
8	73	3177
9	74	2890
10	75	2661
11	76	2466
12	77	2296
13	78	2150
14	78	2025
15	80	1936
16	82	1850
17	83	1771
18	84	1693
19	85	1624
20	86	1559
21	87	1499
22	88	1449
23	89	1399
24	90	1355
25	92	1324
26	93	1286
27	94	1251
28	95	1217
29	96	1190
30	97	1163
31	98	1136
32	101	1125
33	102	1108
34	104	1093
35	106	1073
36	107	1056
37	109	1039
38	110	1022
39	112	1008
40	112	987
41	114	972
42	114	953
43	116	941
44	117	926
45	118	914
46	120	902
47	121	887
48	122	874
49	123	866
50	124	855
51	127	850
52	128	840
53	129	828
54	130	820
55	132	814
56	133	804
57	134	795
58	136	787
59	137	778
60	139	772
61	140	765
62	141	758
63	144	757
64	145	750
65	147	747
66	148	738
67	149	729
68	150	721
69	151	716
70	153	713
71	155	708
72	156	701
73	157	695
74	159	691
75	161	688
76	163	686
77	164	679
78	165	673
79	167	668
80	168	664
81	170	661
82	171	656
83	172	650
84	175	649
85	176	646
86	178	643
87	179	637
88	180	631
89	181	625
90	183	621
91	184	616
92	186	614
93	187	609
94	188	604
95	190	601
96	191	597
97	192	594
98	194	590
99	195	586
100	196	582
101	197	577
102	198	573
103	200	569
104	201	565
105	202	562
106	203	558
107	204	553
108	206	550
109	207	546
110	208	541
111	208	537
112	209	532
113	210	528
114	211	524
115	212	519
116	213	517
117	214	513
118	215	509
119	216	505
120	217	502
121	218	498
122	219	494
123	220	490
124	221	487
125	222	484
126	223	480
127	224	477
128	225	473
129	226	469
130	227	466
131	228	463
132	229	460
133	230	457
134	231	453
135	232	450
136	232	447
137	233	444
138	234	441
139	235	437
140	236	435
141	238	432
142	239	430
143	240	426
144	240	423
145	241	420
146	242	417
147	243	414
148	244	411
149	245	409
150	246	406
151	247	403
152	249	402
153	250	399
154	251	396
155	251	394
156	253	391
157	253	388
158	254	386
159	256	384
160	256	381
161	257	378
162	258	375
163	259	372
164	260	370
165	261	368
166	262	365
167	262	363
168	263	360
169	265	358
170	266	356
171	267	354
172	267	351
173	269	349
174	269	347
175	270	344
176	271	342
177	272	339
178	273	337
179	274	334
180	274	332
181	275	330
182	277	328
183	278	326
184	279	324
185	279	321
186	280	319
187	281	317
188	282	315
189	283	313
190	284	311
191	285	309
192	286	306
193	287	304
194	287	302
195	288	300
196	289	298
197	290	296
198	291	294
199	292	292
200	293	290
201	294	288
202	295	286
203	296	284
204	297	282
205	298	280
206	298	278
207	299	276
208	300	275
209	301	273
210	302	271
211	303	269
212	304	267
213	305	265
214	306	263
215	307	261
216	308	259
217	309	257
218	309	256
219	310	254
220	311	252
221	312	250
222	313	248
223	314	246
224	315	245
225	315	243
226	317	241
227	318	240
228	318	238
229	319	236
230	320	234
231	321	232
232	322	231
233	323	229
234	324	228
235	325	226
236	326	224
237	327	223
238	328	221
239	329	219
240	330	218
241	331	216
242	333	215
243	333	213
244	334	211
245	335	210
246	336	208
247	337	206
248	338	205
249	339	203
250	339	201
251	341	200
252	342	198
253	342	197
254	343	195
255	344	193
256	345	192
257	346	190
258	347	189
259	348	187
260	349	186
261	350	184
262	350	182
263	351	181
264	352	179
265	353	178
266	354	176
267	355	174
268	355	173
269	357	171
270	358	170
271	358	168
272	359	167
273	360	165
274	361	164
275	362	162
276	363	161
277	364	159
278	365	158
279	366	157
280	367	155
281	368	154
282	368	152
283	369	150
284	370	149
285	371	148
286	372	146
287	373	145
288	373	143
289	374	142
290	375	140
291	376	139
292	377	137
293	378	136
294	379	135
295	380	133
296	381	132
297	382	130
298	383	129
299	384	128
300	385	126
301	386	125
302	387	124
303	388	122
304	389	121
305	390	119
306	391	118
307	392	117
308	393	115
309	394	114
310	396	113
311	397	112
312	398	110
313	399	109
314	400	108
315	401	106
316	403	105
317	403	104
318	404	102
319	406	101
320	407	100
321	408	99
322	410	97
323	411	96
324	412	95
325	413	93
326	414	92
327	415	91
328	416	89
329	418	88
330	419	87
331	420	86
332	421	84
333	422	83
334	423	82
335	424	80
336	426	79
337	427	78
338	428	77
339	430	75
340	431	74
341	433	73
342	434	72
343	437	71
344	439	70
345	440	68
346	442	67
347	444	66
348	446	65
349	448	64
350	449	62
351	450	61
352	451	60
353	453	58
354	455	57
355	457	56
356	458	55
357	459	53
358	461	52
359	463	51
360	464	50
361	466	48
362	468	47
363	470	46
364	472	45
365	473	44
366	475	42
367	477	41
368	478	40
369	480	38
370	481	37
371	483	36
372	486	35
373	487	33
374	488	32
375	490	31
376	492	30
377	494	28
378	497	27
379	499	26
380	501	25
381	503	23
382	504	22
383	506	21
384	507	19
385	508	18
386	510	17
387	512	15
388	513	14
389	515	13
390	516	11
391	518	10
392	519	9
393	520	7
394	523	6
395	527	5
396	529	4
397	531	2
398	532	1
399	534	0
